Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	gene_biotype	description	percentage_gene_gc_content
ENSMUSG00000000058	919.202169453945	0.742947443855777	0.16719816042886	4.4435144618226	8.85012046472424e-06	0.000592581470265685	Cav2	protein_coding	Caveolin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q9WVC3]	39.77
ENSMUSG00000000149	49294.7748177933	-0.553577972156315	0.143503323402681	-3.85759687671437	0.000114507299669915	0.00445777522742978	Gna12	protein_coding	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]	47.49
ENSMUSG00000000275	389.55661115598	1.88732322445632	0.31743062923199	5.9456241794392	2.75405369579709e-09	6.42000517086922e-07	Trim25	protein_coding	E3 ubiquitin/ISG15 ligase TRIM25  [Source:UniProtKB/Swiss-Prot;Acc:Q61510]	48.45
ENSMUSG00000000568	1928.9733502156	0.692358772737858	0.122959455390517	5.63078919420177	1.79386876982532e-08	3.13628056591127e-06	Hnrnpd	protein_coding	Heteroous nuclear ribonucleoprotein D0  [Source:UniProtKB/Swiss-Prot;Acc:Q60668]	38.55
ENSMUSG00000000605	11403.745862354	-0.299303013303613	0.082256763340732	-3.63864320875125	0.000274078204222833	0.00869772210442947	Clcn4	protein_coding	Mus musculus chloride channel, voltage-sensitive 4 (Clcn4), transcript variant 7, mRNA. [Source:RefSeq mRNA;Acc:NM_001357103]	47.23
ENSMUSG00000000632	829.193456834828	2.98785812423876	0.467342476327723	6.39329458712314	1.6234904876059e-10	5.1957198960974e-08	Sez6	protein_coding	Seizure protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q7TSK2]	51.55
ENSMUSG00000001025	1293.90491438661	0.802377674376604	0.198278367136496	4.04672323039781	5.19395918871672e-05	0.00237428524629525	S100a6	protein_coding	S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]	47.42
ENSMUSG00000001036	12284.929346387	-0.552705098822896	0.123078469394374	-4.49067250789326	7.09986449248152e-06	0.000485723338213899	Epn2	protein_coding	Epsin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q8CHU3]	45.69
ENSMUSG00000001313	4675.18902029996	0.677609695237078	0.181434186573113	3.73474099912268	0.00018790847236963	0.00655838775468274	Rnd2	protein_coding	Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]	54.98
ENSMUSG00000001441	3863.54562683588	-0.472618942902336	0.128133871428674	-3.68847782114678	0.000225599686988784	0.00753942175172074	Npepps	protein_coding	Puromycin-sensitive aminopeptidase  [Source:UniProtKB/Swiss-Prot;Acc:Q11011]	41.18
ENSMUSG00000001467	5198.18468203446	-0.692465874580475	0.153496326958145	-4.51128628484572	6.44356841068971e-06	0.0004506202175209	Cyp51	protein_coding	Lanosterol 14-alpha demethylase  [Source:UniProtKB/Swiss-Prot;Acc:Q8K0C4]	42.39
ENSMUSG00000001750	1596.49946906325	-0.79363479639465	0.186996608583317	-4.24411331524786	2.19459441460766e-05	0.00120811462788985	Tcirg1	protein_coding	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3 [Source:MGI Symbol;Acc:MGI:1350931]	53.89
ENSMUSG00000001833	58645.7375329372	-0.78124827240807	0.112713792926232	-6.93125705493185	4.17117308709875e-12	2.07263395343681e-09	Sept7	protein_coding	septin-7 isoform 2  [Source:RefSeq peptide;Acc:NP_001192296]	35.94
ENSMUSG00000001891	5489.29041858213	0.449361440927758	0.0930793635804616	4.82772360749235	1.38102582892046e-06	0.000124768084697015	Ugp2	protein_coding	UDP-glucose pyrophosphorylase 2 [Source:MGI Symbol;Acc:MGI:2183447]	39.6
