Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	gene_biotype	description	percentage_gene_gc_content
ENSMUSG00000000028	178.211092643127	1.73011368045468	0.346630661451162	4.99123093500038	5.99957142809575e-07	8.96846004101508e-06	Cdc45	protein_coding	Cell division control   [Source:UniProtKB/Swiss-Prot;Acc:Q9Z1X9]	46.23
ENSMUSG00000000058	919.202169453945	0.666201551877197	0.146516373863647	4.5469426679723	5.44308175993848e-06	6.6534917704138e-05	Cav2	protein_coding	Caveolin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q9WVC3]	39.77
ENSMUSG00000000120	110.280703519774	-2.1272714035531	0.267286593973984	-7.95876580237374	1.73763779253702e-15	8.98122763173225e-14	Ngfr	protein_coding	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	53.62
ENSMUSG00000000149	49294.7748177933	-1.08661856709929	0.126681076522002	-8.57759183085696	9.68800279946169e-18	6.75312825963911e-16	Gna12	protein_coding	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]	47.49
ENSMUSG00000000197	1987.96759699005	0.926770094079979	0.214450994857728	4.3215938200465	1.54906158171852e-05	0.000172741683722831	Nalcn	protein_coding	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	38.67
ENSMUSG00000000275	389.55661115598	2.22129510766522	0.275479630359929	8.06337334184374	7.42174205156932e-16	4.0658602653217e-14	Trim25	protein_coding	E3 ubiquitin/ISG15 ligase TRIM25  [Source:UniProtKB/Swiss-Prot;Acc:Q61510]	48.45
ENSMUSG00000000295	82.7500682989889	1.83236948112592	0.38980096916907	4.70078226083413	2.59166747703103e-06	3.398701894356e-05	Hddc2	protein_coding	HD domain-containing protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q3SXD3]	42.09
ENSMUSG00000000325	1037.44267475274	1.02157003710019	0.241231569248117	4.23481072682266	2.28744289159873e-05	0.000244698511308097	Arvcf	protein_coding	Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog  [Source:UniProtKB/Swiss-Prot;Acc:P98203]	50.36
ENSMUSG00000000346	21858.9103815984	-0.541456568404713	0.0768144855958549	-7.04888621208097	1.80355556255279e-12	6.45958537394596e-11	Dazap2	protein_coding	DAZ-associated protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9DCP9]	50.58
ENSMUSG00000000374	3331.66999488256	-0.758749280960179	0.152527399745564	-4.97451134829464	6.54124324462635e-07	9.7122344417427e-06	Trappc10	protein_coding		48.02
ENSMUSG00000000378	1230.57755566978	-0.380182610522859	0.0848483438621718	-4.4807310693115	7.43877951836807e-06	8.80519683951444e-05	Ccm2	protein_coding	Cerebral cavernous malformations   [Source:UniProtKB/Swiss-Prot;Acc:Q8K2Y9]	47.75
ENSMUSG00000000531	350.670254239566	-1.60551819491595	0.218075750747692	-7.3622041396684	1.80898043139502e-13	7.28386157966262e-12	Grasp	protein_coding	ral receptor for phosphoinositides 1-associated scaffold protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9JJA9]	55.63
ENSMUSG00000000538	10435.2552734092	-0.69725882961555	0.13347348091063	-5.22395029228628	1.75145814952092e-07	2.88664051626126e-06	Tom1l2	protein_coding	TOM1-like protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q5SRX1]	46.54
ENSMUSG00000000567	160.86311364273	-1.32672603561632	0.3443469379973	-3.8528759492751	0.000116738541201997	0.00103810294892384	Sox9	protein_coding	Transcription factor SOX-9  [Source:UniProtKB/Swiss-Prot;Acc:Q04887]	50.95
ENSMUSG00000000594	5132.2660676704	0.542784875209743	0.0805466140499697	6.73876713021119	1.59736168444410e-11	5.05129919334454e-10	Gm2a	protein_coding	Ganglioside GM2 activator  [Source:UniProtKB/Swiss-Prot;Acc:Q60648]	48.96
ENSMUSG00000000631	5400.43255673925	-0.991550436694777	0.175951857289215	-5.63535078271409	1.74702358575056e-08	3.43540087923933e-07	Myo18a	protein_coding	myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]	51.78
ENSMUSG00000000632	829.193456834828	3.99338250528979	0.411641875033174	9.70110853024358	2.9824048596045e-22	3.35270576356001e-20	Sez6	protein_coding	Seizure protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q7TSK2]	51.55
